연번,발생일자,사고유형,발생역,발생시간,비고
1,2024-12-24,출입문관련,잠실새내역,13:40:00,
2,2024-12-21,출입문관련,고속터미널(3)역,11:26:00,
3,2024-12-18,출입문관련,장지역,06:26:00,
4,2024-12-18,출입문관련,동대문역사문화공원(4)역,15:29:00,
5,2024-12-16,출입문관련,강동역,18:46:00,
6,2024-12-14,역구내 사고,철산역,20:51:00,
7,2024-12-13,역구내 사고,잠원역,22:05:00,
8,2024-12-12,열차내 사고,자양역,08:25:00,
9,2024-12-11,발빠짐,합정(6)역,08:46:00,
10,2024-12-08,출입문관련,청담역,11:08:00,
11,2024-12-07,승강설비관련,시청(2)역,20:16:00,
12,2024-12-06,역구내 사고,월곡역,14:10:00,
13,2024-12-05,출입문관련,답십리역,11:18:00,
14,2024-12-04,출입문관련,동대문(4)역,11:28:00,
15,2024-12-03,출입문관련,고속터미널(3)역,15:10:00,
16,2024-12-02,열차내 사고,을지로입구역,11:14:00,
17,2024-12-01,발빠짐,발산역,22:23:00,
18,2024-11-29,승강설비관련,삼성역,09:33:00,
19,2024-11-29,승강설비관련,노원(4)역,11:31:00,
20,2024-11-28,출입문관련,불광(3)역,13:03:00,
21,2024-11-28,역구내 사고,한성대입구역,11:43:00,
22,2024-11-27,승강설비관련,몽촌토성역,08:16:00,
23,2024-11-25,발빠짐,고속터미널(7)역,12:59:00,
24,2024-11-23,출입문관련,송파역,10:13:00,
25,2024-11-23,발빠짐,철산역,09:09:00,
26,2024-11-22,발빠짐,철산역,09:27:00,
27,2024-11-21,열차내 사고,마곡역,14:32:00,
28,2024-11-20,발빠짐,합정(6)역,08:06:00,
29,2024-11-19,역구내 사고,동대문(4)역,12:30:00,
30,2024-11-17,출입문관련,중앙역,15:57:00,
31,2024-11-16,출입문관련,미아역,11:38:00,
32,2024-11-15,열차내 사고,구로디지털단지역,17:50:00,
33,2024-11-15,열차내 사고,구로디지털단지역,17:50:00,
34,2024-11-14,출입문관련,천호(5)역,08:38:00,
35,2024-11-12,출입문관련,미아사거리역,21:29:00,
36,2024-11-12,출입문관련,길동역,18:50:00,
37,2024-11-12,열차내 사고,삼성역,09:10:00,
38,2024-11-09,승강설비관련,고속터미널(3)역,18:07:00,
39,2024-11-08,출입문관련,서울대입구역,08:26:00,
40,2024-11-08,열차내 사고,까치산(5)역,20:52:00,
41,2024-11-05,승강설비관련,까치산(5)역,14:56:00,
42,2024-11-04,역구내 사고,문래역,13:35:00,
43,2024-11-03,역구내 사고,오금(5)역,12:06:00,
44,2024-11-02,발빠짐,수서역,11:31:00,
45,2024-11-01,역구내 사고,이대역,07:36:00,
46,2024-10-31,출입문관련,사당(4)역,16:57:00,
47,2024-10-31,열차내 사고,장암역,08:38:00,
48,2024-10-30,출입문관련,잠실(2)역,17:48:00,
49,2024-10-29,승강설비관련,수서역,12:43:00,
50,2024-10-25,출입문관련,교대(2)역,09:50:00,
51,2024-10-24,출입문관련,미아역,16:43:00,
52,2024-10-23,역구내 사고,굽은다리역,13:24:00,
53,2024-10-23,열차내 사고,일원역,10:10:00,
54,2024-10-22,열차내 사고,도봉산(7)역,06:13:00,
55,2024-10-22,발빠짐,무악재역,08:46:00,
56,2024-10-21,출입문관련,강변역,12:28:00,
57,2024-10-21,승강설비관련,약수(6)역,15:20:00,
58,2024-10-20,열차내 사고,사당(4)역,10:58:00,
59,2024-10-19,역구내 사고,청량리역,18:20:00,
60,2024-10-19,열차내 사고,장자호수공원역,10:35:00,
61,2024-10-19,승강설비관련,남성역,17:42:00,
62,2024-10-18,출입문관련,군자(5)역,07:46:00,
63,2024-10-18,출입문관련,구파발(3)역,16:27:00,
64,2024-10-18,출입문관련,동대문역사문화공원(5)역,18:37:00,
65,2024-10-18,열차내 사고,오목교역,18:47:00,
66,2024-10-18,열차내 사고,석촌역,16:47:00,
67,2024-10-17,발빠짐,사가정역,08:22:00,
68,2024-10-16,출입문관련,을지로입구역,12:35:00,
69,2024-10-15,출입문관련,홍대입구역,08:37:00,
70,2024-10-15,출입문관련,천호(5)역,12:08:00,
71,2024-10-15,발빠짐,발산역,16:17:00,
72,2024-10-15,발빠짐,시청(2)역,18:59:00,
73,2024-10-14,출입문관련,혜화역,16:56:00,
74,2024-10-14,역구내 사고,잠원역,07:26:00,
75,2024-10-14,발빠짐,면목역,07:52:00,
76,2024-10-12,출입문관련,숙대입구역,10:05:00,
77,2024-10-12,발빠짐,여의나루역,22:00:00,
78,2024-10-11,열차내 사고,불광(3)역,13:02:00,
79,2024-10-11,열차내 사고,역삼역,12:18:00,
80,2024-10-11,출입문관련,답십리역,15:25:00,
81,2024-10-11,출입문관련,종로3가(5)역,15:25:00,
82,2024-10-10,출입문관련,신대방역,12:53:00,
83,2024-10-10,발빠짐,연신내(6)역,16:46:00,
84,2024-10-09,출입문관련,천호(5)역,09:56:00,
85,2024-10-08,출입문관련,하남시청역,17:04:00,
86,2024-10-08,승강설비관련,잠실나루역,11:32:00,
87,2024-10-05,발빠짐,성신여대입구역,18:04:00,
88,2024-10-04,역구내 사고,고속터미널(3)역,16:27:00,
89,2024-10-04,역구내 사고,충무로(4)역,15:09:00,
90,2024-10-02,출입문관련,신정네거리역,09:08:00,
91,2024-10-02,출입문관련,가산디지털단지(7)역,18:31:00,
92,2024-10-01,발빠짐,성신여대입구역,15:50:00,
93,2024-09-30,출입문관련,미아역,16:53:00,
94,2024-09-29,열차내 사고,오금(3)역,12:47:00,
95,2024-09-29,출입문관련,종로3가(3)역,13:59:00,
96,2024-09-28,출입문관련,사당(2)역,17:55:00,
97,2024-09-27,승강설비관련,경찰병원역,11:51:00,
98,2024-09-26,출입문관련,수서역,18:17:00,
99,2024-09-26,열차내 사고,경복궁역,22:36:00,
100,2024-09-24,열차내 사고,마곡역,13:26:00,
101,2024-09-23,역구내 사고,안국역,15:00:00,
102,2024-09-23,출입문관련,목동역,16:54:00,
103,2024-09-23,열차내 사고,동대문역사문화공원(2)역,08:20:00,
104,2024-09-22,역구내 사고,강남역,18:14:00,
105,2024-09-21,출입문관련,충무로(4)역,18:27:00,
106,2024-09-17,역구내 사고,신설동(2)역,13:33:00,
107,2024-09-14,기타,토목사업소,14:00:00,
108,2024-09-14,출입문관련,장암역,19:48:00,
109,2024-09-13,발빠짐,화곡역,17:37:00,
110,2024-09-13,열차내 사고,학여울역,17:33:00,
111,2024-09-13,열차내 사고,시청(1)역,18:30:00,
112,2024-09-12,출입문관련,종로3가(1)역,17:09:00,
113,2024-09-12,역구내 사고,연신내(3)역,09:45:00,
114,2024-09-11,발빠짐,동대문역사문화공원(5)역,23:10:00,
115,2024-09-11,출입문관련,이수(4)역,17:34:00,
116,2024-09-11,출입문관련,철산역,08:36:00,
117,2024-09-11,발빠짐,신촌역,17:03:00,
118,2024-09-10,역구내 사고,상봉역,08:10:00,
119,2024-09-10,열차내 사고,상봉역,08:30:00,
120,2024-09-10,승강설비관련,신림역,15:31:00,
121,2024-09-07,출입문관련,오목교역,17:49:00,
122,2024-09-07,출입문관련,오목교역,17:49:00,
123,2024-09-07,출입문관련,오목교역,17:49:00,
124,2024-09-07,열차내 사고,합정(2)역,13:43:00,
125,2024-09-07,발빠짐,신촌역,23:18:00,
126,2024-09-05,열차내 사고,봉천역,09:24:00,
127,2024-09-05,열차내 사고,모란역,14:49:00,
128,2024-09-04,열차내 사고,제기동역,10:32:00,
129,2024-09-04,출입문관련,건대입구(7)역,10:32:00,
130,2024-09-03,역구내 사고,건대입구(7)역,06:02:00,
131,2024-08-30,출입문관련,홍대입구역,16:30:00,
132,2024-08-30,출입문관련,혜화역,06:19:00,
133,2024-08-29,출입문관련,교대(2)역,14:42:00,
134,2024-08-28,출입문관련,왕십리(2)역,16:03:00,
135,2024-08-28,출입문관련,중계역,17:50:00,
136,2024-08-28,출입문관련,중곡역,17:31:00,
137,2024-08-28,발빠짐,합정(6)역,08:28:00,
138,2024-08-28,열차내 사고,매봉역,07:44:00,
139,2024-08-27,열차내 사고,마포구청역,09:28:00,
140,2024-08-27,출입문관련,남부터미널역,14:44:00,
141,2024-08-27,승강설비관련,강남구청역,18:19:00,
142,2024-08-26,승강설비관련,안국역,09:57:00,
143,2024-08-26,출입문관련,남구로역,15:21:00,
144,2024-08-26,출입문관련,서울(1)역,14:50:00,
145,2024-08-24,발빠짐,신촌역,20:17:00,
146,2024-08-23,발빠짐,고속터미널(7)역,15:01:00,
147,2024-08-23,역구내 사고,천호(5)역,18:28:00,
148,2024-08-22,열차내 사고,왕십리(2)역,14:00:00,
149,2024-08-22,승강설비관련,고속터미널(7)역,16:17:00,
150,2024-08-21,기타,천호(5)역,10:05:00,
151,2024-08-21,역구내 사고,목동역,14:46:00,
152,2024-08-21,출입문관련,발산역,13:36:00,
153,2024-08-21,역구내 사고,녹번역,08:40:00,
154,2024-08-21,승강설비관련,청담역,06:25:00,
155,2024-08-20,출입문관련,잠실새내역,18:46:00,
156,2024-08-20,출입문관련,교대(3)역,18:32:00,
157,2024-08-20,출입문관련,약수(3)역,12:25:00,
158,2024-08-20,열차내 사고,굽은다리역,22:27:00,
159,2024-08-20,열차내 사고,잠실(2)역,18:32:00,
160,2024-08-19,역구내 사고,시청(2)역,18:02:00,
161,2024-08-19,출입문관련,중동역,12:25:00,
162,2024-08-19,출입문관련,대방역,15:34:00,
163,2024-08-19,발빠짐,경복궁역,07:57:00,
164,2024-08-18,출입문관련,구로디지털단지역,10:08:00,
165,2024-08-18,발빠짐,동대문역사문화공원(4)역,17:12:00,
166,2024-08-16,출입문관련,발산역,08:02:00,
167,2024-08-16,출입문관련,하남시청역,18:55:00,
168,2024-08-16,열차내 사고,고속터미널(3)역,08:50:00,
169,2024-08-15,출입문관련,교대(3)역,19:58:00,
170,2024-08-14,출입문관련,명일역,15:24:00,
171,2024-08-13,출입문관련,약수(3)역,09:29:00,
172,2024-08-13,출입문관련,이수(7)역,15:32:00,
173,2024-08-13,출입문관련,신당(2)역,08:30:00,
174,2024-08-12,열차내 사고,여의나루역,18:37:00,
175,2024-08-10,출입문관련,광화문역,15:12:00,
176,2024-08-10,출입문관련,창동역,09:25:00,
177,2024-08-09,출입문관련,올림픽공원역,13:37:00,
178,2024-08-09,열차내 사고,종로3가(3)역,08:39:00,
179,2024-08-09,승강설비관련,성수역,18:15:00,
180,2024-08-09,승강설비관련,충정로(2)역,08:46:00,
181,2024-08-09,승강설비관련,건대입구(7)역,16:26:00,
182,2024-08-03,출입문관련,천호(5)역,11:35:00,
183,2024-08-02,출입문관련,봉화산역,09:36:00,
184,2024-08-01,발빠짐,종합운동장역,17:16:00,
185,2024-08-01,발빠짐,경찰병원역,15:04:00,
186,2024-07-31,출입문관련,이수(4)역,15:54:00,
187,2024-07-31,출입문관련,노원(4)역,18:56:00,
188,2024-07-31,출입문관련,길동역,20:49:00,
189,2024-07-29,발빠짐,을지로4가(2)역,08:12:00,
190,2024-07-29,출입문관련,종로5가역,14:33:00,
191,2024-07-28,발빠짐,동대문(4)역,10:34:00,
192,2024-07-27,승강설비관련,사가정역,16:18:00,
193,2024-07-27,출입문관련,을지로4가(2)역,15:37:00,
194,2024-07-26,역구내 사고,청담역,16:56:00,
195,2024-07-26,역구내 사고,온수(7)역,16:56:00,
196,2024-07-26,출입문관련,상일동역,12:01:00,
197,2024-07-25,열차내 사고,안국역,12:14:00,
198,2024-07-25,출입문관련,구파발(3)역,15:10:00,
199,2024-07-25,출입문관련,쌍문역,19:33:00,
200,2024-07-25,출입문관련,군자(5)역,14:43:00,
201,2024-07-25,역구내 사고,건대입구(2)역,07:55:00,
202,2024-07-23,출입문관련,신길역,17:48:00,
203,2024-07-22,역구내 사고,온수(7)역,12:44:00,
204,2024-07-22,열차내 사고,동인천역,14:15:00,
205,2024-07-22,출입문관련,코레일,19:04:00,
206,2024-07-22,출입문관련,신도림(2)역,07:33:00,
207,2024-07-22,출입문관련,강동역,08:09:00,
208,2024-07-22,승강설비관련,하계역,15:19:00,
209,2024-07-22,발빠짐,고속터미널(7)역,21:20:00,
210,2024-07-21,출입문관련,방화역,19:50:00,
211,2024-07-21,출입문관련,잠실(2)역,19:17:00,
212,2024-07-21,출입문관련,청량리역,14:29:00,
213,2024-07-21,승강설비관련,서울(4)역,10:46:00,
214,2024-07-20,역구내 사고,건대입구(2)역,14:46:00,
215,2024-07-20,열차내 사고,상계역,17:44:00,
216,2024-07-20,역구내 사고,녹번역,14:20:00,
217,2024-07-19,열차내 사고,문정역,11:55:00,
218,2024-07-19,발빠짐,충정로(5)역,13:35:00,
219,2024-07-19,열차내 사고,대흥역,07:41:00,
220,2024-07-19,열차내 사고,교대(3)역,14:39:00,
221,2024-07-19,역구내 사고,신대방삼거리역,16:00:00,
222,2024-07-19,출입문관련,군자(5)역,20:04:00,
223,2024-07-19,출입문관련,연신내(3)역,19:02:00,
224,2024-07-19,출입문관련,애오개역,18:56:00,
225,2024-07-19,출입문관련,교대(3)역,22:13:00,
226,2024-07-19,역구내 사고,내방역,14:11:00,
227,2024-07-18,승강설비관련,양재역,15:00:00,
228,2024-07-18,출입문관련,사당(2)역,14:40:00,
229,2024-07-18,역구내 사고,아차산역,08:57:00,
230,2024-07-17,역구내 사고,길동역,08:20:00,
231,2024-07-17,열차내 사고,남성역,12:41:00,
232,2024-07-17,역구내 사고,길동역,08:20:00,
233,2024-07-17,출입문관련,이수(4)역,12:20:00,
234,2024-07-16,열차내 사고,천호(8)역,18:26:00,
235,2024-07-16,출입문관련,방화역,08:06:00,
236,2024-07-16,출입문관련,미아사거리역,12:19:00,
237,2024-07-16,발빠짐,고속터미널(3)역,18:30:00,
238,2024-07-15,승강설비관련,천왕역,13:30:00,
239,2024-07-15,역구내 사고,역삼역,15:58:00,
240,2024-07-15,출입문관련,철산역,12:16:00,
241,2024-07-13,출입문관련,봉화산역,10:11:00,
242,2024-07-11,역구내 사고,상일동역,09:24:00,
243,2024-07-11,출입문관련,사가정역,16:44:00,
244,2024-07-10,출입문관련,혜화역,18:36:00,
245,2024-07-10,출입문관련,삼각지(4)역,09:11:00,
246,2024-07-09,승강설비관련,숭실대입구역,14:06:00,
247,2024-07-09,출입문관련,남한산성입구역,16:05:00,
248,2024-07-09,열차내 사고,상일동역,08:45:00,
249,2024-07-08,승강설비관련,사가정역,15:31:00,
250,2024-07-08,승강설비관련,청담역,16:33:00,
251,2024-07-08,역구내 사고,동대문역사문화공원(4)역,11:19:00,
252,2024-07-08,승강설비관련,선릉역,18:50:00,
253,2024-07-08,출입문관련,상봉역,21:08:00,
254,2024-07-06,역구내 사고,낙성대역,01:00:00,
255,2024-07-06,출입문관련,거여역,13:43:00,
256,2024-07-06,출입문관련,강남역,11:09:00,
257,2024-07-05,역구내 사고,철산역,22:56:00,
258,2024-07-05,역구내 사고,합정(6)역,07:14:00,
259,2024-07-05,열차내 사고,양재역,09:24:00,
260,2024-07-05,역구내 사고,역삼역,05:28:00,
261,2024-07-05,출입문관련,천왕역,12:45:00,
262,2024-07-05,발빠짐,고속터미널(7)역,19:52:00,
263,2024-07-04,출입문관련,몽촌토성역,15:40:00,
264,2024-07-04,출입문관련,대림(7)역,11:08:00,
265,2024-07-03,열차내 사고,강남구청역,18:45:00,
266,2024-07-02,발빠짐,회현역,19:39:00,
267,2024-07-02,출입문관련,동대문역사문화공원(2)역,13:45:00,
268,2024-07-02,출입문관련,애오개역,17:55:00,
269,2024-07-01,출입문관련,혜화역,15:09:00,
270,2024-07-01,출입문관련,잠실(2)역,18:17:00,
271,2024-07-01,출입문관련,화정역,15:39:00,
272,2024-07-01,역구내 사고,청량리역,17:46:00,
273,2024-06-30,기타,토목,21:10:00,
274,2024-06-30,역구내 사고,압구정역,07:55:00,
275,2024-06-29,열차내 사고,강변역,23:07:00,
276,2024-06-29,출입문관련,선릉역,15:14:00,
277,2024-06-29,발빠짐,김포공항역,23:48:00,
278,2024-06-28,출입문관련,서울(4)역,13:19:00,
279,2024-06-28,출입문관련,서울(4)역,13:19:00,
280,2024-06-27,출입문관련,코레일,17:36:00,
281,2024-06-27,출입문관련,먹골역,09:44:00,
282,2024-06-26,역구내 사고,봉천역,23:15:00,
283,2024-06-26,출입문관련,보라매역,08:00:00,
284,2024-06-26,출입문관련,광명사거리역,08:00:00,
285,2024-06-26,출입문관련,교대(3)역,21:34:00,
286,2024-06-26,열차내 사고,보라매역,16:14:00,
287,2024-06-26,발빠짐,동대문역사문화공원(4)역,15:48:00,
288,2024-06-25,열차내 사고,하남검단산역,19:34:00,
289,2024-06-25,열차내 사고,목동역,18:11:00,
290,2024-06-25,열차내 사고,목동역,00:00:00,
291,2024-06-25,출입문관련,노원(4)역,18:30:00,
292,2024-06-25,기타,기타,18:55:00,
293,2024-06-25,승강설비관련,옥수역,16:37:00,
294,2024-06-24,출입문관련,이수(4)역,08:44:00,
295,2024-06-24,출입문관련,남구로역,08:29:00,
296,2024-06-23,역구내 사고,온수(7)역,10:08:00,
297,2024-06-23,발빠짐,신촌역,22:56:00,
298,2024-06-21,열차내 사고,화곡역,18:23:00,
299,2024-06-21,역구내 사고,교대(2)역,15:00:00,
300,2024-06-21,열차내 사고,명동역,07:55:00,
301,2024-06-21,출입문관련,천호(5)역,13:07:00,
302,2024-06-20,출입문관련,몽촌토성역,09:25:00,
303,2024-06-19,기타,둔촌동역,09:00:00,
304,2024-06-19,출입문관련,천호(5)역,13:09:00,
305,2024-06-19,출입문관련,천호(8)역,12:11:00,
306,2024-06-19,출입문관련,거여역,08:07:00,
307,2024-06-17,출입문관련,상계역,08:15:00,
308,2024-06-17,출입문관련,공덕(5)역,16:24:00,
309,2024-06-17,출입문관련,강남역,09:52:00,
310,2024-06-16,발빠짐,충무로(3)역,17:06:00,
311,2024-06-14,출입문관련,불광(3)역,14:26:00,
312,2024-06-13,승강설비관련,동대문(4)역,17:43:00,
313,2024-06-13,출입문관련,미아사거리역,15:30:00,
314,2024-06-12,출입문관련,행당역,14:34:00,
315,2024-06-11,열차내 사고,역삼역,11:31:00,
316,2024-06-11,역구내 사고,가락시장(8)역,07:30:00,
317,2024-06-10,역구내 사고,연신내(6)역,12:41:00,
318,2024-06-10,출입문관련,단대오거리역,18:22:00,
319,2024-06-09,역구내 사고,시청(2)역,23:43:00,
320,2024-06-09,승강설비관련,문정역,09:42:00,
321,2024-06-08,출입문관련,상일동역,20:01:00,
322,2024-06-08,출입문관련,군자(5)역,09:00:00,
323,2024-06-05,열차내 사고,동대문(4)역,17:36:00,
324,2024-06-04,승강설비관련,상수역,17:43:00,
325,2024-06-04,역구내 사고,신도림(2)역,13:50:00,
326,2024-06-04,승강설비관련,고속터미널(3)역,14:58:00,
327,2024-06-04,역구내 사고,효창공원앞역,14:09:00,
328,2024-06-04,출입문관련,강남역,07:57:00,
329,2024-06-03,출입문관련,공릉역,15:39:00,
330,2024-06-03,출입문관련,충무로(4)역,19:50:00,
331,2024-06-01,열차내 사고,압구정역,15:10:00,
332,2024-05-31,출입문관련,회현역,15:35:00,
333,2024-05-30,역구내 사고,혜화역,23:42:00,
334,2024-05-30,발빠짐,동대문역사문화공원(4)역,17:56:00,
335,2024-05-30,역구내 사고,노원(4)역,15:59:00,
336,2024-05-30,열차내 사고,매봉역,18:21:00,
337,2024-05-30,출입문관련,한성대입구역,07:29:00,
338,2024-05-30,발빠짐,고속터미널(7)역,10:44:00,
339,2024-05-28,열차내 사고,성신여대입구역,08:37:00,
340,2024-05-28,열차내 사고,낙성대역,14:58:00,
341,2024-05-28,열차내 사고,기타,17:28:00,
342,2024-05-27,열차내 사고,도봉산(7)역,18:05:00,
343,2024-05-25,열차내 사고,군자(5)역,11:08:00,
344,2024-05-25,출입문관련,남한산성입구역,12:05:00,
345,2024-05-24,역구내 사고,불광(3)역,12:10:00,
346,2024-05-24,역구내 사고,강변역,08:11:00,
347,2024-05-24,출입문관련,천호(5)역,09:26:00,
348,2024-05-23,발빠짐,동대문(4)역,21:25:00,
349,2024-05-23,출입문관련,천호(8)역,08:09:00,
350,2024-05-21,열차내 사고,동대문(4)역,22:15:00,
351,2024-05-21,출입문관련,신금호역,17:57:00,
352,2024-05-20,역구내 사고,동대문역사문화공원(2)역,14:42:00,
353,2024-05-20,출입문관련,을지로입구역,10:36:00,
354,2024-05-18,출입문관련,홍대입구역,20:15:00,
355,2024-05-18,출입문관련,대화역,15:50:00,
356,2024-05-17,발빠짐,성신여대입구역,15:04:00,
357,2024-05-17,출입문관련,건대입구(2)역,12:15:00,
358,2024-05-17,출입문관련,천호(5)역,16:53:00,
359,2024-05-14,열차내 사고,오목교역,17:33:00,
360,2024-05-14,출입문관련,교대(3)역,18:05:00,
361,2024-05-14,출입문관련,군자(5)역,18:10:00,
362,2024-05-14,출입문관련,까치산(5)역,22:50:00,
363,2024-05-14,열차내 사고,문정역,08:14:00,
364,2024-05-13,출입문관련,고덕역,07:36:00,
365,2024-05-13,역구내 사고,가산디지털단지(7)역,23:02:00,
366,2024-05-12,출입문관련,약수(3)역,10:21:00,
367,2024-05-10,열차내 사고,서초역,15:25:00,
368,2024-05-10,열차내 사고,기타,08:30:00,
369,2024-05-10,출입문관련,뚝섬역,11:45:00,
370,2024-05-09,출입문관련,선릉역,10:55:00,
371,2024-05-08,열차내 사고,청량리역,08:40:00,
372,2024-05-08,역구내 사고,천호(8)역,15:50:00,
373,2024-05-08,발빠짐,성신여대입구역,14:00:00,
374,2024-05-08,출입문관련,청구(5)역,17:20:00,
375,2024-05-07,열차내 사고,부평역,22:45:00,
376,2024-05-07,발빠짐,신촌역,20:14:00,
377,2024-05-07,출입문관련,강동역,08:15:00,
378,2024-05-06,승강설비관련,왕십리(2)역,14:20:00,
379,2024-05-05,역구내 사고,성신여대입구역,16:18:00,
380,2024-05-05,역구내 사고,아현역,21:40:00,
381,2024-05-05,출입문관련,충무로(4)역,13:40:00,
382,2024-05-05,역구내 사고,먹골역,16:25:00,
383,2024-05-04,출입문관련,종로3가(1)역,08:51:00,
384,2024-05-02,발빠짐,신대방역,18:31:00,
385,2024-05-02,발빠짐,신대방역,18:31:00,
386,2024-05-01,발빠짐,서대문역,12:30:00,
387,2024-05-01,출입문관련,사당(2)역,13:11:00,
388,2024-04-30,역구내 사고,금호역,19:55:00,
389,2024-04-30,출입문관련,상수역,10:51:00,
390,2024-04-30,출입문관련,영등포시장역,17:05:00,
391,2024-04-29,역구내 사고,영등포구청(2)역,12:57:00,
392,2024-04-28,출입문관련,아차산역,19:59:00,
393,2024-04-27,열차내 사고,도곡역,13:12:00,
394,2024-04-27,열차내 사고,교대(3)역,15:05:00,
395,2024-04-27,역구내 사고,동대문역사문화공원(5)역,09:27:00,
396,2024-04-26,출입문관련,약수(3)역,13:14:00,
397,2024-04-26,출입문관련,약수(3)역,13:14:00,
398,2024-04-25,열차내 사고,천호(5)역,14:01:00,
399,2024-04-24,출입문관련,양재역,08:48:00,
400,2024-04-24,출입문관련,종로3가(5)역,21:00:00,
401,2024-04-23,승강설비관련,약수(6)역,16:02:00,
402,2024-04-23,출입문관련,노원(4)역,15:06:00,
403,2024-04-23,출입문관련,군자(5)역,11:52:00,
404,2024-04-23,출입문관련,창동역,11:58:00,
405,2024-04-22,발빠짐,철산역,18:30:00,
406,2024-04-22,출입문관련,김포공항역,17:26:00,
407,2024-04-21,발빠짐,신림역,16:38:00,
408,2024-04-21,출입문관련,건대입구(7)역,12:16:00,
